Date,Close Price
4/1/2023,28411.03516
4/2/2023,28199.30859
4/3/2023,27790.2207
4/4/2023,28168.08984
4/5/2023,28177.98438
4/6/2023,28044.14063
4/7/2023,27925.85938
4/8/2023,27947.79492
4/9/2023,28333.05078
4/10/2023,29652.98047
4/11/2023,30235.05859
4/12/2023,30139.05273
4/13/2023,30399.06641
4/14/2023,30485.69922
4/15/2023,30318.49609
4/16/2023,30315.35547
4/17/2023,29445.04492
4/18/2023,30397.55273
4/19/2023,28822.67969
4/20/2023,28245.98828
4/21/2023,27276.91016
4/22/2023,27817.5
4/23/2023,27591.38477
4/24/2023,27525.33984
4/25/2023,28307.59766
4/26/2023,28422.70117
4/27/2023,29473.78711
4/28/2023,29340.26172
4/29/2023,29248.48828
4/30/2023,29268.80664
